case,trigger,eye,DEL,master_mirror,axis_A_drift (clips misplaced),axis_B_paused (files w/o clips + plugin failure),contract_violated,plugin_response_advanced,plugin_response_simplified (layer over adv; does not cancel),signal_advanced,signal_simplified,resulting_state,recovery_paths_advanced,recovery_paths_simplified,notes
1,deleted bin with files / file in Premiere,off,off,off,no,no,none — silent,none,none,none,none,healthy (unchanged),n/a,n/a,"Eye=off — no policy is active. FS untouched. Plugin agnostic. If files remain in FS — they will be imported on next eye=on / Refresh."
2,deleted bin with files / file in Premiere,on,off,off,no (clips destroyed → nothing misplaced),YES (files in FS without clips + plugin failed to maintain coverage),"Coverage contract (Axis B): ""eye=on promises bin reflects FS folder content""","eye stored → off (force-pause); manifest cleared for removed entries; FS-events queued (no auto-import to avoid retry-loop)","Layer over: simplified.broken = true (via event-trigger contract — see parked-notes). Global autoimport for entire mode halted.",eye-closed glyph per-row (existing visual),red background on Simplified toggle,healthy + autoimport-paused (sub-state),"(a) Refresh — manual re-import (manifest repopulates); (b) mode-toggle Adv→Simplified — same as Refresh + clear simplified.broken flag; (c) flip eye on in Adv — full policy restore","(a) Refresh — manual re-import + clear simplified.broken; (b) mode-toggle Simplified→Adv→Simplified — same; (c) exit to Adv, flip eye manually, return","Stored eye=off persists across (a)/(b) — only (c) restores policy. After (a)/(b) without (c) the next FS-event triggers pause-cycle again. Mediator: policy change requires explicit per-row act."
2.b,user pressed cancel during autoimport,on,any,any,depends (if cancel mid-batch — partial clips may exist somewhere; usually no),YES (plugin failed to complete the import job),Coverage contract (Axis B),eye stored → off; manifest reflects partial state,Layer over: simplified.broken = true,eye-closed glyph,red toggle background,healthy + autoimport-paused,Refresh / mode-toggle / eye flip — same 3 paths,Refresh / mode-toggle,Same flow as #2. Autocancel (see #11.new) — same.
3,deleted bin with files / file in Premiere,on,on,on,no (clips destroyed),no (this is deliberate intent via 3-way handshake),Mirror DEL contract — explicit 3-way handshake (eye=on + DEL=on + master=on),timer (5s default) → if not cancelled → OS trash via §9 flow; row removed,"Impossible in Simplified — DEL column hidden (#41 spec). With effectively DEL=off falls into case #2.",timer only visible in progress panel; LED state mirror-deleting (per §9). Countdown ring on DEL cell — PARKED (see parked-notes),N/A (case unavailable in Simplified),mirror-deleting (transient) → row removed,Cancel in progress panel (DEL checkbox auto-unchecks + autoimport stops),N/A,"Covered by §9. Row disappears (not Missing) — Axiom of asymmetric ambiguity. Mirror DEL fires per diff: if diff suspicious → import wins (see parked-notes safety hierarchy)."
4,moved/renamed bin WITH CLIPS out of parent,any,any,any,YES (clips moved with bin → misplaced),no (plugin didn't try import — nothing failed; dedup OK for existing),"Structure parity contract (Axis A): ""clips for FS files must live in bin for the corresponding row""","orphan old bin (mark as ""alien"" where it moved); recreate empty bin in SoT position on next FS-event for row; Mirror DEL force-disabled for drifted row until restore (§9 structure-lock preserved)",same as adv (drift = local issue; doesn't affect mode globally),"4px solid accentFill (dark blue, drifted-state) — cascade up to root","same as adv (LED visible in Simplified). Toggle NOT red (mode keeps working).",drifted (cascade up to root),Magnet (move scattered clips into recreated bin),"Magnet (if available in Simplified header — see parked-notes; else — exit to Adv → Magnet)","Magnet = Axis A tool ONLY. Side-files in orphan bin preserved (mediator doesn't touch what isn't its own — Herder Bucket DROPPED). After Magnet → row → healthy."
4',moved EMPTY bin (no clips),any,any,any,no (nothing misplaced),no (FS folder may be empty or contain files not yet imported),none — orphan instantly,"orphan instantly; recreate bin in SoT position on next FS-event for row via autoimport; Mirror DEL not affected (nothing to trash)",same as adv,none (row stays healthy),none,"healthy (row healthy, orphan bin sits where it moved)",Refresh (recreate bin if FS has files); or file appears in FS — autoimport recreates (if eye=on),Refresh; FS-event auto (eye=on global),"Sub-case of #4 for empty bin. No drift because nothing misplaced. Import triggers only files, not folders/bins."
5,moved file out of bin (Premiere drag to wrong bin),any,any,any,YES (file-level misplacement),no,Structure parity contract (Axis A) — sub-case of #4 at file level,same as #4,same as #4,"4px solid accentFill (drifted, cascade up to root)",same as adv (drift = local issue),drifted (file-level sub-axis),Magnet (pull file back to correct bin),Magnet,"Sub-case of #4 file-level. In spec §1 demo distinguish bin-level vs file-level drift."
5.1,renamed file in bin (Premiere clip rename),any,any,any,no (cosmetic — Premiere clip name separate from FS file name),no,none (cosmetic),none,none,none,none,healthy (unchanged),n/a,n/a,"Premiere clip rename — user-cosmetic, not SoT. FS file name unchanged. Plugin agnostic."
6,added side-file to our bin (Premiere import outside SheepDog flow),any,any,any,"no (over-representation; mediator doesn't intrude)",no,none — side-files belong to user,nothing,nothing,none,none,healthy,"n/a. Magnet does NOT eject side-files (Herder Bucket DROPPED). Side-file remains in bin untouched.",n/a,"Sub-level polish: subtle info indicator ""bin contains side-files"" (parked, see parked-notes)."
7,deleted file in Finder (FS-side single file),any,any,any,no (folder OK),no (Premiere itself shows offline for deleted file),(no contract from plugin — file-level FS event),"row stays healthy. Folder itself alive — this is Premiere's problem with offline clip reference",same as adv,none (folder LED doesn't change),none,healthy,"n/a from our side. User relinks clip in Premiere via native UI, or deletes clip from bin (then #2)",N/A (file-level relink — Premiere native),"Missing is a folder-level state, NOT file-level. Premiere handles offline file references natively. Plugin doesn't intervene at file-level."
