№,действие,состояние_row,целевой_путь,результат,row_после,дети,старый_FS_путь,бины_Premiere,правила,заметки
1,Add,—,Свободный (вне tracked зоны),Создать ROOT,Новый ROOT с дефолтными настройками из Settings → Root defaults,—,—,—,"15, 19","Стандартное добавление. Walker обходит рекурсивно. Дети создаются по мере walker discovery."
2,Add,—,Внутри другого tracked root (recursive coverage),REFUSE,Без изменений,—,—,—,"15, 19","Дублирование отслеживания запрещено. Путь уже покрыт другим root."
3,Add,—,Совпадает с путём существующей row,REFUSE,Без изменений,—,—,—,"15, 19","Дублирование отслеживания — отказ."
4,Add,—,Содержит существующий root внутри (новый путь = parent),RESTRUCTURE (T4.1),Новый ROOT поглощает существующий root как child,Существующий root становится child нового root + auto-Magnet перестраивает дерево бинов,По FS-SoT — контент под новым root всё ещё существует и re-discovered walker'ом нового root,"Бины остаются легитимными (transfer в manifest нового root). Auto-Magnet пересоздаёт структуру отражая новую иерархию. Пустые бины без side-files удаляются по правилу 16.","15, 19, 27","Механика T4.1. Mediator сохраняет данные пользователя — клипы мигрируют через логику Magnet."
5,Relink,Healthy root,Тот же путь что текущий,no-op (REFUSE),Без изменений,—,—,—,—,"Тот же путь → no-op. Healthy row уже здоровый — relink не требуется."
6,Relink,Healthy root,Свободный,MOVE → row становится ROOT в новом пути,Поле path у row обновляется на новое,"Дети translocate как dead-weight Missing если нет folder-name match в новом path | сливаются автоматически если match есть",Vanish по FS-SoT (был standalone — нет walker покрывающего старый путь после relink). Старые FS-файлы остаются untouched.,"Бины переезжают с row, остаются легитимными. Plugin attempts auto-rebase: clips с file match (name+size+mtime) в новом path → changeMediaPath() rebase. Clips без match → их FS path теряет coverage → становятся side-files (Rule 25). Бины с side-files внутри сохраняются. Truly пустые бины matching gone-folders → удаляются по правилу 16 (rare в практике).","13, 14, 16, 17, 22, 24, 25, 26, 27","Бины НЕ demote — переезжают с row. Файлы ушедшие в side-file status — пользователь видит их как user content в Premiere bins."
7,Relink,Healthy root,Внутри другого tracked root coverage (включая совпадение с existing row's path),MERGE dialog,Row уничтожается при подтверждении merge,"Translocate как dead-weight Missing под target если нет folder-name match | сливаются если match есть",Vanish по FS-SoT,"Transfer: bins мигрируют из manifest source в manifest target (moveItem + manifest update). Опустошённые бины source после content transfer → удаляются по правилу 16 (нет side-files внутри).","13, 14, 16, 17, 22, 24, 25, 26, 27","Auto-dedup через changeMediaPath() при merge. Если target = exact path другой row (already tracked) — это subset того же поведения, target row absorbs source. См. матрицу dedup."
8,Relink,Healthy root,Является parent существующего root,RESTRUCTURE (T4.1),Source row's path = новый. Существующий root re-parent под source row,Существующий root становится child source row + auto-Magnet перестраивает иерархию,"Re-detected walker'ом нового пути если старый путь лежит под новым (типичный случай: например relink /External → /Disk_root который содержит /External). Vanish если новый путь НЕ содержит старый (rare edge).","Бины существующего root transfer как child в дерево бинов source row. Auto-Magnet пересоздаёт структуру для новой иерархии.","15, 19, 27","Operationally похоже на Add Folder case 4 + walker re-discovery старого пути. Для большинства scenarios проще через Add Folder. Distinction от case 7: target ВЫШЕ existing root (а не внутри coverage)."
9,Relink,Healthy child,Тот же путь что текущий,no-op (REFUSE),Без изменений,—,—,—,—,"Тот же путь → no-op."
10,Relink,Healthy child,Свободный,MOVE → row становится ROOT в новом пути,Поле path у row обновляется + row promoted в root (parent dropped),Translocate как dead-weight Missing если нет match | сливаются если match есть,Re-detected walker'ом (был под tracked root R) → fresh row создаётся на старой позиции → переимпорт по FS-SoT,"Бины переезжают с row. Auto-rebase clips как в case 6. Clips без match → side-files (rule 25).","13, 14, 16, 17, 22, 24, 25, 27","Старый FS-путь под walker R coverage → R пересоздаёт row на следующем walk pass."
